Student_ID,Name,Gender,Age,Department,Semester,Attendance_Percentage,Internal_Marks,External_Marks,City,Email
1001,Student_1,Male,23,CE,7,83.92,14.68,51.6,Delhi,student1@college.edu
1002,Student_2,Female,20,,3,66.15,19.57,65.92,Hyderabad,student2@college.edu
1003,Student_3,Male,22,CE,8,99.39,,71.48,Delhi,student3@college.edu
1004,Student_4,Male,24,IT,3,66.28,11.84,70.44,Hyderabad,student4@college.edu
1005,Student_5,Male,24,ECE,6,,8.89,34.79,Chennai,student5@college.edu
1006,Student_6,Female,19,IT,3,80.17,16.24,,Mumbai,student6@college.edu
1007,Student_7,Male,24,ECE,2,90.08,,21.17,Kolkata,student7@college.edu
1008,Student_8,Male,23,CSE,6,73.48,6.69,13.85,Hyderabad,student8@college.edu
1009,Student_9,Male,21,EEE,8,71.13,18.7,16.85,Bangalore,student9@college.edu
1010,Student_10,Female,17,,1,99.78,19.16,22,Delhi,student10@college.edu
1011,Student_11,Male,23,CE,1,50.52,12.2,,Bangalore,student11@college.edu
1012,Student_12,Male,21,CSE,4,94.75,6.53,45.33,Hyderabad,student12@college.edu
1013,Student_13,Male,22,EEE,7,57.46,13.53,56.26,Pune,student13@college.edu
1014,Student_14,Male,24,CE,4,89.3,13.85,23.71,Hyderabad,student14@college.edu
1015,Student_15,Female,22,ME,2,80.9,18.37,53.71,Delhi,student15@college.edu
1016,Student_16,Male,24,,5,67.09,11.31,55.78,Pune,student16@college.edu
1017,Student_17,Female,,ECE,8,93.69,18.65,46.31,Pune,student17@college.edu
1018,Student_18,Female,18,ECE,7,50.65,22.43,68.74,Delhi,student18@college.edu
1019,Student_19,Female,17,ME,8,61.33,9.75,17.21,Pune,student19@college.edu
1020,Student_20,Male,20,CSE,1,78.34,24.58,,Mumbai,student20@college.edu
1021,Student_21,Female,23,EEE,4,67.58,12.73,37.86,Kolkata,student21@college.edu
1022,Student_22,Male,19,CE,8,80.52,10.35,18.24,Bangalore,student22@college.edu
1023,Student_23,Female,18,,1,,13.43,46.81,Mumbai,student23@college.edu
1024,Student_24,Female,17,CSE,2,55.82,6.89,35.9,Mumbai,student24@college.edu
1025,Student_25,Female,21,ME,2,56.35,7.51,28.5,Delhi,student25@college.edu
1026,Student_26,Female,18,IT,5,59.46,,21.05,Delhi,student26@college.edu
1027,Student_27,Female,,ECE,8,72.97,20.25,,Bangalore,student27@college.edu
1028,Student_28,Female,24,ME,5,87.61,23.01,49.52,Kolkata,student28@college.edu
1029,Student_29,Female,18,CE,6,95.28,18.3,47.43,Hyderabad,student29@college.edu
1030,Student_30,Female,,EEE,7,,7.1,20.64,Mumbai,student30@college.edu
1031,Student_31,Male,23,ECE,8,59.84,18.44,18.12,Pune,student31@college.edu
1032,Student_32,Male,17,ECE,2,72.06,17.71,11.73,Kolkata,student32@college.edu
1033,Student_33,Female,23,CE,4,59.97,21.12,10.81,Mumbai,student33@college.edu
1034,Student_34,Female,18,IT,1,63.22,21.5,67.19,Hyderabad,student34@college.edu
1035,Student_35,Female,21,CSE,3,,22.36,12.93,Pune,student35@college.edu
1036,Student_36,Male,22,EEE,5,53.41,13.28,57.53,Mumbai,student36@college.edu
